iter	Logloss
0	0.6876360321
1	0.679630127
2	0.6663832092
3	0.6609825897
4	0.6527471924
5	0.6475871277
6	0.6404484558
7	0.6343640518
8	0.6299590683
9	0.6239968109
10	0.6182762146
11	0.6141369247
12	0.6104588699
13	0.6062722015
14	0.6013171387
15	0.594636116
16	0.5911178589
17	0.5882442474
18	0.5846634674
19	0.5787174988
20	0.5708230972
21	0.5659877014
22	0.5595967102
23	0.5557178879
24	0.5518817139
25	0.5466962051
26	0.5402302551
27	0.5355227661
28	0.5315736008
29	0.5277526093
30	0.5237585831
31	0.518661499
32	0.513321991
33	0.506372757
34	0.5010788727
35	0.4978809738
36	0.4935540009
37	0.4894858932
38	0.4859673309
39	0.4828530121
40	0.4799123383
41	0.4776089859
42	0.4754977417
43	0.4720510101
44	0.4679069901
45	0.4654207993
46	0.4638773346
47	0.4619633484
48	0.4586658859
49	0.4564417267
50	0.45415905
51	0.4507868958
52	0.4479154968
53	0.4440628052
54	0.4399937439
55	0.4381978989
56	0.4353879547
57	0.4326097107
58	0.4290139389
59	0.4243306732
60	0.4193138885
61	0.4177528381
62	0.4140138245
63	0.411432991
64	0.4089482498
65	0.4071581268
66	0.403839035
67	0.4003754425
68	0.3986840057
69	0.3956141663
70	0.3936297607
71	0.3908371735
72	0.3878020477
73	0.3851348114
74	0.3837496567
75	0.3823692322
76	0.3802685928
77	0.3791658783
78	0.3765935516
79	0.3746499252
80	0.3726218796
81	0.3703947449
82	0.3678661346
83	0.3658255768
84	0.3641746521
85	0.3613096619
86	0.3588317871
87	0.3580363846
88	0.3565509033
89	0.3548901367
90	0.3518490601
91	0.3485124588
92	0.3471259308
93	0.3441431046
94	0.3420852661
95	0.3400070572
96	0.3365885925
97	0.3343915939
98	0.3331268311
99	0.3317545319
100	0.3294200897
101	0.3277468872
102	0.325201416
103	0.3239191055
104	0.3219392395
105	0.3191857147
106	0.3175307083
107	0.3143686676
108	0.3098323441
109	0.3089233398
110	0.306725235
111	0.3041378021
112	0.3026085472
113	0.3010266685
114	0.2992375183
115	0.2970206833
116	0.2959365845
117	0.2944609833
118	0.292697258
119	0.289440937
120	0.2875162125
121	0.2846093369
122	0.2838319778
123	0.2826056671
124	0.2791337967
125	0.2771810722
126	0.2753647232
127	0.2728503036
128	0.2700047302
129	0.2689894867
130	0.2672884369
131	0.2653815079
132	0.2620902824
133	0.2601634598
134	0.2583213043
135	0.2570066261
136	0.2562308311
137	0.2540519142
138	0.2517657471
139	0.2504571342
140	0.2490351868
141	0.245558548
142	0.2444154739
143	0.2433682442
144	0.2421796227
145	0.2409048843
146	0.2388759613
147	0.2368149185
148	0.2354289436
149	0.2331284142
150	0.2315488815
151	0.229018898
152	0.2280750847
153	0.227152977
154	0.2256285477
155	0.224402504
156	0.2227117538
157	0.2216607285
158	0.2203014946
159	0.2185703659
160	0.2178811455
161	0.2168759918
162	0.2164365768
163	0.2150248718
164	0.2138117027
165	0.2129987335
166	0.2118259048
167	0.209999733
168	0.2093264961
169	0.2073096657
170	0.2048231506
171	0.2033667755
172	0.2019394684
173	0.2006377029
174	0.1986672974
175	0.1975110054
176	0.1957710266
177	0.1940611267
178	0.1933466911
179	0.1906630325
180	0.189540081
181	0.18878685
182	0.1883467484
183	0.1872184944
184	0.1862358665
185	0.1851193237
186	0.1842809296
187	0.1834992599
188	0.1822672653
189	0.1809597778
190	0.1799462891
191	0.1786640167
192	0.1774559212
193	0.1762723541
194	0.1743008041
195	0.1731411171
196	0.1722735023
197	0.1706888962
198	0.1693770599
199	0.1686724091
200	0.167971096
201	0.1668870544
202	0.1654177475
203	0.1636173248
204	0.1630077362
205	0.1611492538
206	0.1600995445
207	0.1592068768
208	0.1586258698
209	0.1570178986
210	0.1557363987
211	0.1549576473
212	0.1541484642
213	0.1534996891
214	0.1525469017
215	0.1517051315
216	0.1509307098
217	0.1498670387
218	0.1490681458
219	0.148818531
220	0.1481594467
221	0.1473204613
222	0.1465999413
223	0.1456626511
224	0.1446824074
225	0.1433354378
226	0.1420406723
227	0.1409413147
228	0.1400463486
229	0.1391597748
230	0.1383872986
231	0.1368632603
232	0.1360151291
233	0.134623642
234	0.1339040661
235	0.1323529816
236	0.1315209293
237	0.1303775978
238	0.1297773361
239	0.128656559
240	0.1273398304
241	0.1270986843
242	0.1258975124
243	0.1250377464
244	0.1243277931
245	0.1235901165
246	0.1227824306
247	0.1215322876
248	0.1209497833
249	0.1197245216
250	0.1194220829
251	0.1182340431
252	0.1173440456
253	0.1168092728
254	0.1164066124
255	0.1152498245
256	0.1141384029
257	0.1137964821
258	0.1129420662
259	0.1123805714
260	0.1115299797
261	0.1107140923
262	0.1101397228
263	0.1096930695
264	0.1091697311
265	0.1087354946
266	0.1084076309
267	0.1075338364
268	0.1069897366
269	0.1066340351
270	0.105845232
271	0.1051614189
272	0.1044165421
273	0.1037500191
274	0.1030165291
275	0.1022677231
276	0.1017673206
277	0.1015357208
278	0.1009735489
279	0.1004379845
280	0.09995172501
281	0.09967845917
282	0.09945056915
283	0.09919101715
284	0.09843316078
285	0.09782644272
286	0.09759497643
287	0.09703517914
288	0.09678623199
289	0.09622629166
290	0.09572710037
291	0.09532500267
292	0.09484071732
293	0.09435761452
294	0.09372241974
295	0.09300851822
296	0.09277074814
297	0.09213306427
298	0.09167971611
299	0.09126281738
