iter	Passed	Remaining
0	1	547
1	3	502
2	4	491
3	6	484
4	8	473
5	9	468
6	10	459
7	12	454
8	13	450
9	15	454
10	17	451
11	18	448
12	20	445
13	22	457
14	24	462
15	25	459
16	27	455
17	29	456
18	31	465
19	32	461
20	34	457
21	35	453
22	37	449
23	38	446
24	40	450
25	42	447
26	44	446
27	45	446
28	47	443
29	48	440
30	50	439
31	52	442
32	54	440
33	56	438
34	57	436
35	59	439
36	61	437
37	63	436
38	64	434
39	66	431
40	68	430
41	69	427
42	70	423
43	72	421
44	73	418
45	75	417
46	77	414
47	78	412
48	80	410
49	82	413
50	84	412
51	86	412
52	88	412
53	90	412
54	93	415
55	95	416
56	97	415
57	99	414
58	101	413
59	102	411
60	104	409
61	106	409
62	108	408
63	110	407
64	112	406
65	114	406
66	116	406
67	118	405
68	120	404
69	122	404
70	124	403
71	127	402
72	129	403
73	132	403
74	134	402
75	136	401
76	138	400
77	140	400
78	142	399
79	144	398
80	147	397
81	149	397
82	151	396
83	153	395
84	156	395
85	158	394
86	160	392
87	163	392
88	165	391
89	167	389
90	169	388
91	171	387
92	173	386
93	175	384
94	177	382
95	179	381
96	181	380
97	183	379
98	186	377
99	188	376
100	190	374
101	192	373
102	195	373
103	197	371
104	199	370
105	201	369
106	204	368
107	206	366
108	208	364
109	210	362
110	211	360
111	213	359
112	215	357
113	218	355
114	220	354
115	222	352
116	224	351
117	226	349
118	228	347
119	230	346
120	232	344
121	234	342
122	237	341
123	239	339
124	241	338
125	243	336
126	245	334
127	247	332
128	249	331
129	251	329
130	253	327
131	255	325
132	257	323
133	260	322
134	262	320
135	264	318
136	266	317
137	269	315
138	271	314
139	274	313
140	276	311
141	279	310
142	281	309
143	285	308
144	287	307
145	290	306
146	292	304
147	294	302
148	297	301
149	300	300
150	303	299
151	305	297
152	307	295
153	309	293
154	311	291
155	314	289
156	316	288
157	318	285
158	320	284
159	322	282
160	324	280
161	326	278
162	328	276
163	331	274
164	333	272
165	335	270
166	337	269
167	339	267
168	341	265
169	344	263
170	346	261
171	348	259
172	350	257
173	352	255
174	355	253
175	357	251
176	359	249
177	361	247
178	363	246
179	365	243
180	367	241
181	370	240
182	372	238
183	374	236
184	377	234
185	380	233
186	382	231
187	384	229
188	386	227
189	388	225
190	391	223
191	393	221
192	395	219
193	397	217
194	399	215
195	401	212
196	403	211
197	405	209
198	407	207
199	410	205
200	412	203
201	414	201
202	416	199
203	418	197
204	421	195
205	424	193
206	426	191
207	428	189
208	430	187
209	432	185
210	434	183
211	437	181
212	439	179
213	441	177
214	443	175
215	445	173
216	447	171
217	449	169
218	451	167
219	453	165
220	455	162
221	457	160
222	459	158
223	462	156
224	464	154
225	466	152
226	468	150
227	470	148
228	472	146
229	474	144
230	476	142
231	478	140
232	480	138
233	482	136
234	484	134
235	486	132
236	489	130
237	491	128
238	493	125
239	495	123
240	498	122
241	500	119
242	502	117
243	504	115
244	507	113
245	509	111
246	511	109
247	513	107
248	515	105
249	518	103
250	520	101
251	523	99
252	525	97
253	527	95
254	530	93
255	532	91
256	534	89
257	536	87
258	539	85
259	541	83
260	543	81
261	545	79
262	547	77
263	550	75
264	552	72
265	554	70
266	557	68
267	560	66
268	562	64
269	565	62
270	567	60
271	569	58
272	571	56
273	574	54
274	576	52
275	579	50
276	582	48
277	584	46
278	586	44
279	589	42
280	593	40
281	595	37
282	597	35
283	600	33
284	602	31
285	605	29
286	607	27
287	609	25
288	612	23
289	614	21
290	616	19
291	618	16
292	621	14
293	623	12
294	625	10
295	628	8
296	630	6
297	632	4
298	634	2
299	637	0
