date,title,description,link,pub_date,category
2020-01-01,"Equity investors post over NT$670 , 000 in gains on average in 2019 | Business | Focus Taiwan",,http://focustaiwan.tw/news/aeco/202001010010.aspx,"Wed, 01 Jan 2020 21:15:00 +0800",GDELT:focustaiwan.tw
2020-01-02,THSRC shares outperform market on dividend yield,,http://www.taipeitimes.com/News/biz/archives/2020/01/02/2003728559,"Thu, 02 Jan 2020 01:30:00 +0800",GDELT:taipeitimes.com
2020-01-02,"Equity investors post over NT$670 , 000 in gains on average in 2019",,https://www.eyeontaiwan.com/equity-investors-post-over-nt670000-in-gains-on-average-in-2019,"Thu, 02 Jan 2020 07:30:00 +0800",GDELT:eyeontaiwan.com
2020-01-02,"뉴스핌 - [ 아시아 증시 ] 中 , 1단계 미중 무역합의 서명식 예고로 상승 ... 日 , 휴장",,http://newspim.com/news/view/20200102001130,"Thu, 02 Jan 2020 16:30:00 +0800",GDELT:newspim.com
2020-01-02,Índice de blue chips da China tem máxima de 2 anos com expectativa de acordo comercial,,https://economia.uol.com.br/noticias/reuters/2020/01/02/indice-de-blue-chips-da-china-tem-maxima-de-2-anos-com-expectativa-de-acordo-comercial.htm,"Thu, 02 Jan 2020 19:15:00 +0800",GDELT:economia.uol.com.br
2020-01-02,Índice de blue chips da China tem máxima de 2 anos com expectativa de acordo comercial,,https://extra.globo.com/noticias/economia/indice-de-blue-chips-da-china-tem-maxima-de-2-anos-com-expectativa-de-acordo-comercial-24168002.html,"Thu, 02 Jan 2020 19:15:00 +0800",GDELT:extra.globo.com
2020-01-02,Baystreet . ca - China Bolts on PMI Survey,,https://www.baystreet.ca/articles/ForeignMarketWrap.aspx?articleid=53499,"Thu, 02 Jan 2020 20:00:00 +0800",GDELT:baystreet.ca
2020-01-02,Baystreet . ca - China Bolts on PMI Survey,,http://www.baystreet.ca/articles/foreignmarketwrap/53499/010220,"Thu, 02 Jan 2020 20:45:00 +0800",GDELT:baystreet.ca
2020-01-02,Baystreet . ca - China Bolts on PMI Survey,,http://www.baystreet.ca/foreignmarketwrap/3309/China-Bolts-on-PMI-Survey,"Thu, 02 Jan 2020 20:45:00 +0800",GDELT:baystreet.ca
2020-01-02,ndice de aes blue chips da China tem máxima de 2 anos com expectativa de acordo comercial,,https://g1.globo.com/economia/noticia/2020/01/02/indice-de-acoes-blue-chips-da-china-tem-maxima-de-2-anos-com-expectativa-de-acordo-comercial.ghtml,"Thu, 02 Jan 2020 21:15:00 +0800",GDELT:g1.globo.com
2020-01-02,Índice de blue chips da China tem máxima de 2 anos com expectativa de acordo comercial,,"https://www.terra.com.br/economia/indice-de-blue-chips-da-china-tem-maxima-de-2-anos-com-expectativa-de-acordo-comercial,7f6b6c980f1453926de5aa80b61cbd9a8q8gobjc.html","Thu, 02 Jan 2020 22:30:00 +0800",GDELT:terra.com.br
2020-01-03,Baystreet . ca - China Bolts on PMI Survey,,http://www.baystreet.ca/articles/foreignmarketwrap/53499/China-Bolts-on-PMI-Survey,"Fri, 03 Jan 2020 04:45:00 +0800",GDELT:baystreet.ca
