date,title,description,link,pub_date,category
2026-05-18,5/18 今彩539頭獎開2注獎落台中南投 威力彩頭獎、貳獎都摃,5月18日開獎的第115000121期今彩539頭獎開出2注，分別由南投縣南投市仁和里彰南路二段56號1樓「爆紅彩券行」以及台中市中區篤行路19-1號1樓「旺萊旺彩券行」開出；第...…,https://news.ltn.com.tw/news/society/breakingnews/5441367,"Mon, 18 May 2026 22:27:41 +0800",綜合
2026-05-18,無菸城市啟動但無明確標示、選址標準 柳采葳：APP打Smoking「查無服務」,台北市分階段啟動「無菸城市」，全市目前計有183處吸菸區和吸菸室，議員柳采葳今（18）在警政衛生部門質詢指出，吸菸專屬點位快速增加，但是引導機制、選址標準、清潔維護等配套未同步...…,https://news.ltn.com.tw/news/politics/breakingnews/5441343,"Mon, 18 May 2026 22:26:14 +0800",綜合
2026-05-18,千里步道協會帶領文山社大學員及志工 手作修復大坑5-1步道,台中市觀光旅遊局推動大坑5-1號為「手作文學步道」，以低碳、永續及減法美學理念維護山林環境，近日再度攜手千里步道協會，帶領文山社區大學學員及志工近50人，以手作工法修復5-1號...…,https://news.ltn.com.tw/news/life/breakingnews/5441250,"Mon, 18 May 2026 22:20:19 +0800",綜合
2026-05-18,已簽約出售不動產未過戶即身亡  繼承人注意須這樣申報遺產稅與債權,近來房市景氣不振且買氣觀望，好不容易售出不動產，買賣雙方已簽約，但過戶前屋主卻因故身亡，繼承人要如何申報遺產稅與債權?國稅局指出，被繼承人生前如已訂約出售不動產，惟至死亡時尚未辧妥所有權移轉登記，該不動產仍屬於被繼承人之遺產，應依法列入遺產稅申報。…,https://estate.ltn.com.tw/article/27853,"Mon, 18 May 2026 22:15:00 +0800",綜合
2026-05-18,大甲幼獅工業區東一街銜接長安路完工通車 少繞1.6公里省通勤時間,"為改善大甲幼獅工業區因鐵路阻隔造成的聯外交通不便問題，中市建設局投入3693萬元辦理「東一街銜接黎明路打通連接至長安路安和巷工程」，並正式完工通車。

建設局長陳大田表示工...…",https://news.ltn.com.tw/news/life/breakingnews/5441331,"Mon, 18 May 2026 22:13:30 +0800",綜合
2026-05-18,過路費繳給「它」？伊朗成立新機構管理荷姆茲  X帳號曝光了,〔財經頻道／綜合報導〕伊朗週一（18日）宣布成立一個新機構管理荷姆茲海峽，同時在社群平台X發布第一篇推文，宣稱波斯灣海峽管理局（PGSA，Persian Gulf Strait Authorit...…,https://ec.ltn.com.tw/article/breakingnews/5441398,"Mon, 18 May 2026 22:12:26 +0800",綜合
2026-05-18,林芯儀奪大獎後離開台灣 直奔美國驚人近況曝光,《星光3》亞軍林芯儀近年轉戰健美界，上月她分享參加台灣IFBB職業賽的心路歷程，雖然身心狀態不好，遇到經期突然提前、心悸及情緒爆發等問題，幸而最終仍拿下第4名，接著她馬不...…,https://ent.ltn.com.tw/news/breakingnews/5441407,"Mon, 18 May 2026 22:12:17 +0800",綜合
2026-05-18,北市議員指去年提設智慧垃圾桶但無下文 環保局：試辦99天異常通報38次,台北市近期從鼠害吵到垃圾桶，議員吳世正今（18）天在議會警政衛生部門質詢指出，台北市自詡科技城市，但垃圾桶還是最原始的，垃圾滿了就散在外頭，製造髒亂、吸引老鼠前來，去年4月就曾...…,https://news.ltn.com.tw/news/politics/breakingnews/5441338,"Mon, 18 May 2026 22:11:13 +0800",綜合
2026-05-18,白家綺自爆離婚內幕！當年「沒財產可分」：我們是平分負債,「哈林」庾澄慶主持的公視益智節目《哈！真相大白了》，最新一集邀來白家綺、張睿家、李又汝、李夢純、鄭亦真與朱楚文同台挑戰。節目中出題考驗「沒有特別約定的話，夫妻結婚後，所有...…,https://ent.ltn.com.tw/news/breakingnews/5441402,"Mon, 18 May 2026 22:10:13 +0800",綜合
2026-05-18,基督教團體：奈及利亞3校遇襲 46名兒少成人遭綁架,"奈及利亞基督教協會（Christian Association of Nigeria,CAN）今天表示，該國西南部奧約州（Oyo State）的3所學校上週發生襲擊事件，武裝分子共綁架46人...…",https://news.ltn.com.tw/news/world/breakingnews/5441389,"Mon, 18 May 2026 22:09:50 +0800",綜合
2026-05-18,美官員估多達5000名古巴士兵替俄國作戰 每人要價2.5萬美元,"美國新聞網「Axios」引述美國官員說法，俄羅斯以每人約2.5萬美元（約新台幣79萬元）代價向古巴徵集軍力，派駐烏俄戰場協助侵略烏克蘭。

美官員估算，有多達5000名古巴...…",https://news.ltn.com.tw/news/world/breakingnews/5441401,"Mon, 18 May 2026 22:06:40 +0800",綜合
2026-05-18,「不是中二病而已」 網路作家指孫安佐每月爽領3萬難長大,藝人孫鵬與狄鶯獨子孫安佐（現名：孫健豪）涉自製火焰槍及相關槍械案件遭羈押禁見，網路作家「冒牌生」楊立澔也在社群發文直言：孫安佐的是欠真的不是普通的「中二屁孩」這麼簡單了，...…,https://ent.ltn.com.tw/news/breakingnews/5441405,"Mon, 18 May 2026 22:05:14 +0800",綜合
2026-05-18,威力彩頭獎連22摃下期上看5.6億  今彩539頭獎2注中獎,"今晚（18日）開獎的威力彩，頭獎仍未開出，已經連續22期摃龜。台灣彩券公司表示，預估下期（21日）威力彩銷售金額約1.35億至1.45億元，頭獎累積獎金上看5.6億元。
...…",https://ec.ltn.com.tw/article/breakingnews/5441397,"Mon, 18 May 2026 22:00:00 +0800",綜合
2026-05-18,中東戰火保險套漲30％？台中凍漲賣10元 供應倍增,"中東戰爭衝擊保險套全球供應鏈，市場傳出恐漲價30%。台中市衛生局今天表示，為防制性傳染病，今年預計增設67台保險套販賣機，每盒內含2個保險套售價新台幣10元，不漲價。

台中市議會今天召...…",https://news.ltn.com.tw/news/politics/breakingnews/5441268,"Mon, 18 May 2026 21:59:59 +0800",綜合
2026-05-18,AI開始寫論文促高教被重新定義 政大校長李蔡彥：人文價值更重要,隨著生成式AI快速發展，從寫作、程式設計到研究分析皆能由系統完成，高等教育正面臨前所未有的衝擊。政治大學教務處日前舉辦「山水講堂」，以「AI世代教育志業的機遇與挑戰」為題，邀集...…,https://news.ltn.com.tw/news/life/breakingnews/5441396,"Mon, 18 May 2026 21:59:28 +0800",綜合
2026-05-18,伊朗回應美和平提案 巴基斯坦消息人士：時間所剩不多,"巴基斯坦消息人士今（18）日透露，伊朗政府已回應美國日前提出的伊朗戰爭終戰提議，並透過巴基斯坦轉達給美國，但他認為留給雙方溝通的時間「所剩不多」。

《路透》報導，巴基斯坦消...…",https://news.ltn.com.tw/news/world/breakingnews/5441376,"Mon, 18 May 2026 21:59:10 +0800",綜合
2026-05-18,獲300架無人機密謀襲美？古巴：合法自衛權,美國新聞網「Axios」掌握的機密情資顯示，古巴取得超過300架軍事無人機，並在近期開始討論鎖定關達那摩灣（Guantanamo Bay）美軍基地、船艦或佛羅里達州西島（Key...…,https://news.ltn.com.tw/news/world/breakingnews/5441400,"Mon, 18 May 2026 21:59:00 +0800",綜合
2026-05-18,在先進製程絕對壟斷 美分析機構：可強力買進台積電,儘管台積電股價近來出現震盪，但美國市場分析機構Barchart.com專欄作家古普塔（Ruchi Gupta）指出，台積電將2030年全球晶片市場規模預測上調至1.5兆美元（新...…,https://ec.ltn.com.tw/article/breakingnews/5441406,"Mon, 18 May 2026 21:59:00 +0800",綜合
2026-05-18,擎天崗「野戰桌」被移走 鄉民狂酸：難怪國旅搞不起來,因為即時影像監視器拍下一對男女打野戰的畫面爆紅的陽明山擎天崗，連日吸引大批網友朝聖，但也出現不少亂象，陽明山國家公園今天（18日）終於出手搬走當初被當成「砲台」的桌子。消息一出，...…,https://news.ltn.com.tw/news/life/breakingnews/5441353,"Mon, 18 May 2026 21:56:29 +0800",綜合
2026-05-18,賴清德針對川習會涉台議題拋5點說明  美政府第三把交椅回應了！,受到國際關注的川習會上週落幕，針對兩大國談及台灣議題，我國總統賴清德昨天（17日）做出5點說明，重申台美強化合作重要性。對此，被視為美國政府「第三把交椅」的眾議院議長強生（Mik...…,https://news.ltn.com.tw/news/world/breakingnews/5441323,"Mon, 18 May 2026 21:56:12 +0800",綜合
2026-05-18,大貨車右轉闖禍！女騎士遭擊落趴地，目擊者：差點嚇死,桃園市一名33歲呂姓男子今（18）日上午9點20分許，駕駛大貨車沿中壢區月桃路一段往山東一路方向，右轉山東路時，與同向右後方騎乘機車直行於月桃路一段的35歲胡姓女子發生交通事故...…,https://news.ltn.com.tw/news/society/breakingnews/5441387,"Mon, 18 May 2026 21:51:36 +0800",綜合
