dt,0050_close,ma_gap,drawdown,exit_momentum,inst_0050_5d,foreign_0050_5d,margin_0050_balance_chg_5d,market_margin_balance_chg_5d,tdcc_0050_minority_chg_1w,tdcc_0050_major_chg_1w,foreign_shareholding_0050_ratio_chg_5d,short_0050_margin_balance_chg_5d,short_0050_sbl_balance_chg_5d,securities_lending_0050_volume_5d,day_trade_0050_volume_5d,dealer_tx_volume_5d,dealer_txo_volume_5d,tx_foreign_net_oi,tx_foreign_net_oi_chg_5d,txo_foreign_call_net_oi,txo_foreign_put_net_oi,txo_foreign_put_call_net_oi,txo_foreign_put_call_net_oi_chg_5d,smart_money_cost_20d,smart_money_cost_60d,smart_money_cost_gap_20d,smart_money_cost_gap_60d,smart_money_pressure_20d,smart_money_cost_risk,return_0050_1d,hist_var_0050_20d_5pct,realized_vol_0050_20d,realized_vol_0050_60d,realized_vol_ratio_20_60,tail_var_breach_risk,tail_vol_regime_risk,tail_risk_score,chip_inst_risk,chip_foreign_risk,chip_margin_risk,chip_market_margin_risk,chip_tdcc_risk,chip_foreign_shareholding_risk,chip_short_balance_risk,chip_securities_lending_risk,chip_day_trading_risk,chip_dealer_tx_risk,chip_dealer_txo_risk,chip_score,derivative_futures_foreign_risk,derivative_options_foreign_risk,derivative_score,total_risk_score,base_regime,execution_regime,portfolio_value
2025-01-02,48.51250076293945,0.02930920011918481,-0.025364153174019632,-0.021925357754779884,-12555645.0,-10142661.0,-23.0,73052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160912.0,1418812.0,-43256.0,0.0,-6023.0,-1223.0,4800.0,4800.0,49.303657025306784,48.93831277544157,-0.016046604047266544,-0.008700994953708241,49481689.0,0,-0.008684531025502928,-0.010530752929734783,0.13856942421573956,0.17658640779214393,0.7847117224268283,0,0,0,1,1,0,1,0,0,0,0,0,1,1,5,0,1,1,6,golden1,golden1,998462.367947736
2025-01-03,49.0,0.038251072795422836,-0.01557009547204069,-0.011349306431273631,-9632701.0,-10640087.0,-30.0,49515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288100.0,1960340.0,-39974.0,0.0,-4937.0,-1845.0,3092.0,3092.0,49.33298470311157,48.94451406263048,-0.0067497376271776766,0.0011336497753051678,41814393.0,0,0.010048940569828746,-0.010530752929734783,0.14206912779947664,0.1772787779934813,0.8013882395144931,0,0,0,1,1,0,1,0,0,0,0,0,1,1,5,0,1,1,6,golden1,golden1,1007591.3560133062
2025-01-06,50.537498474121094,0.06933905310166644,0.0,0.01633986978245683,-3371322.0,-11770388.0,100.0,65158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434602.0,3005882.0,-32862.0,0.0,636.0,-1544.0,-2180.0,-2180.0,49.60731983220506,49.13366239100178,0.018750834454720255,0.028571777775239005,49044653.0,0,0.03137751988002235,-0.010530752929734783,0.17975204458017893,0.18727121805309332,0.9598487501118157,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,golden1,golden1,1037693.0934742589
2025-01-07,51.099998474121094,0.0797361585863563,0.0,0.033366990611216396,4658927.0,-6678717.0,130.0,73871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557546.0,3837174.0,-30346.0,0.0,3403.0,-787.0,-4190.0,-4190.0,49.88678791966986,49.293172027653874,0.024319275805145146,0.03665470027884532,57507127.0,0,0.011130349086986291,-0.010530752929734783,0.18284239828733181,0.1856537061704142,0.9848572487936122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,golden1,golden1,1047109.4833730618
2025-01-08,50.337501525878906,0.062342405689499,-0.01492166283778551,0.028607949443247183,3888198.0,-7155170.0,123.0,2980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708726.0,5240686.0,-37452.0,0.0,319.0,627.0,308.0,308.0,49.89593487012594,49.32176885325735,0.008849752127148669,0.020594003342490952,57084966.0,0,-0.01492166283778551,-0.013759840205562607,0.19003669355345507,0.18853481576544123,1.0079660501001702,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,golden1,golden1,1032881.037035086
2025-01-09,49.76250076293945,0.049194339165173906,-0.026174124288066203,0.025766554606373226,10102704.0,-3032042.0,174.0,-97174.0,0.0,0.0,-0.6400000000000006,-85000.0,-952000.0,0.0,0.0,666558.0,4424858.0,-41000.0,2256.0,-623.0,4536.0,5159.0,359.0,49.895946585738294,49.33904258095322,-0.002674482236137865,0.008582618547805065,57084586.0,0,-0.011422910265894703,-0.013759840205562607,0.19223426320037837,0.18525279521147478,1.037686168140858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,3,golden1,golden1,1019903.2675148034
2025-01-10,49.75,0.04784546362622466,-0.026418757620996436,0.015306122448979664,6436263.0,-3573016.0,271.0,-133941.0,0.0,0.0,-0.27000000000000046,-135000.0,-850000.0,0.0,0.0,669662.0,4442960.0,-41948.0,-1974.0,82.0,5962.0,5880.0,2788.0,49.92767733408045,49.339042782737906,-0.0035586941665953775,0.008329249901983804,55496011.0,0,-0.0002512084953086857,-0.013759840205562607,0.1886119151471696,0.18159246872432214,1.03865494242222,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,2,4,golden1,golden1,1018726.9064892759
2025-01-13,48.599998474121094,0.02303132699764454,-0.04892368052155793,-0.03833786907739689,-18105819.0,-14025657.0,273.0,-316523.0,0.0,0.0,-0.7699999999999996,-211000.0,1368000.0,0.0,0.0,670706.0,4588004.0,-43359.0,-10497.0,872.0,5509.0,4637.0,6817.0,49.934637984372735,49.344658829050296,-0.026727729770852138,-0.015091002199630221,55147866.0,0,-0.023115608560379974,-0.015331360123915233,0.20721137268830683,0.18795074277767634,1.1024770087416655,1,0,1,1,1,1,0,0,1,1,0,0,1,1,7,1,1,2,9,golden1,golden1,994900.7857915729
2025-01-14,48.900001525878906,0.028699481149734085,-0.04305277913768135,-0.04305277913768135,-29665832.0,-23768184.0,287.0,-368391.0,0.0,0.0,-0.9900000000000002,-179000.0,1326000.0,0.0,0.0,869664.0,4608722.0,-42434.0,-12088.0,1831.0,5619.0,3788.0,7978.0,49.953858241456196,49.29252891163202,-0.021096602998779024,-0.007963222711839468,54006717.0,0,0.006172902493352117,-0.015331360123915233,0.2079057916298148,0.18126162486692415,1.1469928716707236,0,0,0,1,1,1,0,0,1,1,0,0,1,1,7,1,1,2,9,golden1,golden1,1001629.1371508711
2025-01-15,48.525001525878906,0.020255328678288498,-0.05039133121591499,-0.036006951975321555,-26664711.0,-22238537.0,339.0,-353374.0,0.0,0.0,-0.7199999999999998,-166000.0,3040000.0,0.0,0.0,940738.0,4552358.0,-39417.0,-1965.0,1335.0,7614.0,6279.0,5971.0,49.9925279410652,49.276403941977264,-0.029354915136844406,-0.015248726692457693,51096052.0,0,-0.007668711417146756,-0.015331360123915233,0.20865288993881492,0.18191597148882777,1.1469740025087858,0,0,0,1,1,1,0,0,1,1,0,0,1,1,7,1,1,2,9,golden1,golden1,993633.9904818768
