date,window,baseline_latest,00632r_zero_to_cash,baseline_00632r_weight,guarded_cash_weight
2020-01-02,full_2020_2026,998420.7860836734,998420.7860836734,0.0,0.17833154737222945
2020-01-03,full_2020_2026,997493.6112945413,997493.6112945413,0.0,0.17833154737222945
2020-01-06,full_2020_2026,986705.8434885319,986705.8434885319,0.0,0.17833154737222945
2020-01-07,full_2020_2026,982160.0978297573,982160.0978297573,0.0,0.17833154737222945
2020-01-08,full_2020_2026,977700.3818196967,977700.3818196967,0.0,0.17833154737222945
2020-01-09,full_2020_2026,990065.1378354877,990065.1378354877,0.0,0.17833154737222945
2020-01-10,full_2020_2026,992907.2810013926,992907.2810013926,0.0,0.17833154737222945
2020-01-13,full_2020_2026,1000418.7607996658,1000418.7607996658,0.0,0.17833154737222945
2020-01-14,full_2020_2026,1005634.6442472956,1005634.6442472956,0.0,0.17833154737222945
2020-01-15,full_2020_2026,997723.0261817658,997723.0261817658,0.0,0.17833154737222945
2020-01-16,full_2020_2026,995698.9119565676,995698.9119565676,0.0,0.17833154737222945
2020-01-17,full_2020_2026,996154.0690256959,996154.0690256959,0.0,0.17833154737222945
2020-01-20,full_2020_2026,1000287.4191774986,1000287.4191774986,0.0,0.17833154737222945
2020-01-30,full_2020_2026,945674.0691421564,945674.0691421564,0.0,0.17833154737222945
2020-01-31,full_2020_2026,951160.6847875561,951160.6847875561,0.0,0.48
2020-02-03,full_2020_2026,946446.6454026919,946446.6454026919,0.0,0.48
2020-02-04,full_2020_2026,953801.1368833747,953801.1368833747,0.0,0.48
2020-02-05,full_2020_2026,955112.6145704971,955112.6145704971,0.0,0.48
2020-02-06,full_2020_2026,961460.1253935191,961460.1253935191,0.0,0.17833154737222945
2020-02-07,full_2020_2026,951123.0439029131,951123.0439029131,0.0,0.17833154737222945
2020-02-10,full_2020_2026,948830.1890134268,948830.1890134268,0.0,0.17833154737222945
2020-02-11,full_2020_2026,956678.5877301549,956678.5877301549,0.0,0.17833154737222945
2020-02-12,full_2020_2026,964777.7353836405,964777.7353836405,0.0,0.17833154737222945
2020-02-13,full_2020_2026,965860.6409753334,965860.6409753334,0.0,0.17833154737222945
2020-02-14,full_2020_2026,968126.1877546883,968126.1877546883,0.0,0.17833154737222945
2020-02-17,full_2020_2026,963282.1963080885,963282.1963080885,0.0,0.17833154737222945
2020-02-18,full_2020_2026,951490.9975448448,951490.9975448448,0.0,0.48
2020-02-19,full_2020_2026,956595.24902095,956595.24902095,0.0,0.48
2020-02-20,full_2020_2026,954923.2101933989,954923.2101933989,0.0,0.48
2020-02-21,full_2020_2026,952648.8337750933,952648.8337750933,0.0,0.48
2020-02-24,full_2020_2026,946840.475864904,946840.475864904,0.0,0.48
2020-02-25,full_2020_2026,947313.3505285268,947313.3505285268,0.0,0.48
2020-02-26,full_2020_2026,943229.4383771918,943229.4383771918,0.0,0.48
2020-02-27,full_2020_2026,938884.1343732895,938884.1343732895,0.0,0.48
2020-03-02,full_2020_2026,931912.3790733225,931912.3790733225,0.0,0.48
2020-03-03,full_2020_2026,938102.9719433773,938102.9719433773,0.0,0.48
2020-03-04,full_2020_2026,940611.0142389599,940611.0142389599,0.0,0.48
2020-03-05,full_2020_2026,945756.593648745,945756.593648745,0.0,0.48
2020-03-06,full_2020_2026,936879.1587149238,936879.1587149238,0.0,0.48
2020-03-09,full_2020_2026,924104.6134848101,924104.6134848101,0.0,0.48
2020-03-10,full_2020_2026,925628.0764092595,925628.0764092595,0.0,0.48
2020-03-11,full_2020_2026,920697.056721295,920697.056721295,0.0,0.48
2020-03-12,full_2020_2026,904490.2669511391,904490.2669511391,0.0,0.48
2020-03-16,full_2020_2026,878173.5841279014,878173.5841279014,0.0,0.48
2020-03-17,full_2020_2026,864785.5653469475,864785.5653469475,0.0,0.48
2020-03-18,full_2020_2026,853999.3487975335,853999.3487975335,0.0,0.48
2020-03-19,full_2020_2026,829547.0427454445,829547.0427454445,0.0,0.48
2020-03-20,full_2020_2026,856869.8839140902,856869.8839140902,0.0,0.48
2020-03-23,full_2020_2026,841526.8873702318,841526.8873702318,0.0,0.48
2020-03-24,full_2020_2026,859345.268237775,859345.268237775,0.0,0.48
2020-03-25,full_2020_2026,873646.3533031023,873646.3533031023,0.0,0.48
2020-03-26,full_2020_2026,875681.5209350622,875681.5209350622,0.0,0.48
2020-03-27,full_2020_2026,873924.4172043101,873924.4172043101,0.0,0.48
2020-03-30,full_2020_2026,871039.6760374168,871039.6760374168,0.0,0.48
2020-03-31,full_2020_2026,873008.8917421461,873008.8917421461,0.0,0.48
2020-04-01,full_2020_2026,872357.2241308531,872357.2241308531,0.0,0.48
2020-04-06,full_2020_2026,877843.7492788255,877843.7492788255,0.0,0.48
2020-04-07,full_2020_2026,885335.2181936757,885335.2181936757,0.0,0.48
2020-04-08,full_2020_2026,890934.5524705994,890934.5524705994,0.0,0.48
2020-04-09,full_2020_2026,889543.0503630736,889543.0503630736,0.0,0.48
2020-04-10,full_2020_2026,890717.5654624766,890717.5654624766,0.0,0.48
2020-04-13,full_2020_2026,888377.2120459662,888377.2120459662,0.0,0.48
