date,window,fixed_10pct,raw_gate,debounce_2of3,debounce_3of3,fixed_10pct_00713_weight,raw_gate_00713_weight
2025-01-02,ncf_panel_2025_2026,998459.1660560998,998459.1660560998,998459.1660560998,998459.1660560998,0.1,0.1
2025-01-03,ncf_panel_2025_2026,1006445.3852986865,1006445.3852986865,1006445.3852986865,1006445.3852986865,0.1,0.1
2025-01-06,ncf_panel_2025_2026,1033793.5217469027,1033793.5217469027,1033793.5217469027,1033793.5217469027,0.1,0.1
2025-01-07,ncf_panel_2025_2026,1042049.5754706939,1041871.496533889,1042049.5754706939,1042049.5754706939,0.1,0.05
2025-01-08,ncf_panel_2025_2026,1029413.0364808129,1029452.0218198526,1029413.0364808129,1029413.0364808129,0.1,0.1
2025-01-09,ncf_panel_2025_2026,1017342.6950686031,1017235.1195139847,1017033.5331064437,1017342.6950686031,0.1,0.0
2025-01-10,ncf_panel_2025_2026,1015952.3415556613,1016232.0632773115,1016030.675646336,1015952.3415556613,0.1,0.0
2025-01-13,ncf_panel_2025_2026,994675.5652490869,995601.7418873903,995404.4425859422,994370.2706366433,0.1,0.0
2025-01-14,ncf_panel_2025_2026,1001296.9165533611,1001217.3988345573,1001018.9866732715,1000071.6131750768,0.1,0.1
2025-01-15,ncf_panel_2025_2026,994036.0511326268,993945.3195283123,993748.3484815876,992807.8559816851,0.1,0.1
2025-01-16,ncf_panel_2025_2026,1012229.7472204373,1011856.0626937366,1011958.5081537553,1011000.7813926641,0.1,0.0
2025-01-17,ncf_panel_2025_2026,1016011.3936788371,1015325.0198189984,1015738.2522136284,1014776.9482682879,0.1,0.1
2025-01-20,ncf_panel_2025_2026,1025049.6995385594,1024303.0884011537,1024784.5501949261,1023814.6847506746,0.1,0.1
2025-01-21,ncf_panel_2025_2026,1026803.5236273817,1026049.610292876,1026537.0790182194,1025565.5549647064,0.1,0.1
2025-01-22,ncf_panel_2025_2026,1038937.6039829436,1038109.9182371777,1038682.5956053484,1037699.5769241714,0.1,0.1
2025-02-03,ncf_panel_2025_2026,999517.0589105794,998950.5758663394,999221.7063679515,998276.0338322289,0.1,0.1
2025-02-04,ncf_panel_2025_2026,1003348.6451979799,1002749.8642168052,1003044.7447528122,1002095.4540586964,0.1,0.1
2025-02-05,ncf_panel_2025_2026,1019025.8083721949,1018344.0802939776,1018751.2092898178,1017787.0538544225,0.1,0.1
2025-02-06,ncf_panel_2025_2026,1022477.9304356695,1021775.1520223542,1022200.9995314382,1021233.5791830964,0.1,0.1
2025-02-07,ncf_panel_2025_2026,1027702.0554014458,1026656.8342386546,1027442.7068582474,1026470.3257102876,0.1,0.0
2025-02-10,ncf_panel_2025_2026,1018295.8529046616,1017339.1838482991,1018037.2511014863,1017073.7713626317,0.1,0.1
2025-02-11,ncf_panel_2025_2026,1022756.4115272855,1021766.5095485589,1022494.5685318235,1021526.8703471024,0.1,0.1
2025-02-12,ncf_panel_2025_2026,1021901.7219197865,1020921.0721174519,1021640.9829050304,1020674.092561531,0.1,0.1
2025-02-13,ncf_panel_2025_2026,1021490.708217957,1020516.2473008314,1021258.065528968,1020291.5375819657,0.1,0.1
2025-02-14,ncf_panel_2025_2026,1011092.5090488931,1010188.1264232708,1010855.1764537027,1009898.4938957946,0.1,0.1
2025-02-17,ncf_panel_2025_2026,1025374.9849738954,1024376.7768295509,1025153.4962585138,1024183.281640343,0.1,0.1
2025-02-18,ncf_panel_2025_2026,1029012.7609353461,1027823.6231261543,1028798.4001304206,1027824.7359419841,0.1,0.05
2025-02-19,ncf_panel_2025_2026,1027371.6969688161,1026160.6306204452,1026980.0902934972,1026182.4185862546,0.1,0.05
2025-02-20,ncf_panel_2025_2026,1024034.2924778732,1022809.9515668178,1023624.3553143002,1022846.5077186176,0.1,0.1
2025-02-21,ncf_panel_2025_2026,1032078.8967679258,1030606.0730789612,1031426.6844220636,1030900.6083618756,0.1,0.05
2025-02-24,ncf_panel_2025_2026,1024776.3187060442,1023351.491362311,1024166.3263062617,1023603.6952610599,0.1,0.05
2025-02-25,ncf_panel_2025_2026,1012378.560876213,1011091.681350441,1011896.7545246694,1011210.3810337733,0.1,0.1
2025-02-26,ncf_panel_2025_2026,1014666.2254783072,1013376.4380000636,1014183.3303923928,1013495.4059082223,0.1,0.1
2025-02-27,ncf_panel_2025_2026,1009789.8508742607,1008506.2619731901,1009309.2765291714,1008624.6581346293,0.1,0.1
2025-03-03,ncf_panel_2025_2026,1000576.1836709005,999141.6430425283,1000099.9942501383,999421.6225474628,0.1,0.05
2025-03-04,ncf_panel_2025_2026,997962.2446242064,996386.428604883,997487.2992167844,996810.6997152774,0.1,0.1
2025-03-05,ncf_panel_2025_2026,1003269.4576164078,1001794.8753808781,1002791.9864256203,1002111.7887342176,0.1,0.1
2025-03-06,ncf_panel_2025_2026,1001140.5017356665,999613.0047106057,1000664.043747356,999985.2894477203,0.1,0.1
2025-03-07,ncf_panel_2025_2026,997021.2329490837,995426.3197294718,996546.735383427,995870.773870014,0.1,0.1
2025-03-10,ncf_panel_2025_2026,994537.0549822506,992898.1995797106,994063.7396746632,993389.462386864,0.1,0.1
2025-03-11,ncf_panel_2025_2026,987005.2040607914,985239.3854589856,986535.4732755885,985866.3024400687,0.1,0.1
2025-03-12,ncf_panel_2025_2026,989045.93613239,987009.5257173019,988575.2341317623,987904.6797185474,0.1,0.0
2025-03-13,ncf_panel_2025_2026,985215.13013173,983337.9433243184,984423.6185575906,984078.2940706321,0.1,0.0
2025-03-14,ncf_panel_2025_2026,984236.2819047855,982042.075206656,983119.0130144148,982775.6977412993,0.1,0.0
2025-03-17,ncf_panel_2025_2026,987293.6668467142,985389.7070478713,986489.2163530376,986151.4436264902,0.1,0.0
2025-03-18,ncf_panel_2025_2026,989413.740832417,987009.5257173018,988119.9566932588,987784.8658388027,0.1,0.0
2025-03-19,ncf_panel_2025_2026,984524.7446907084,981955.5803447412,983037.2664152368,982695.0174784982,0.1,0.1
2025-03-20,ncf_panel_2025_2026,993231.925295415,990674.0793105225,991765.3693580979,991723.7206159288,0.1,0.0
