中華民國101年有價證券集中交易市場開（休）市日期表
名稱, 日期, 星期, 說明
中華民國開國紀念日,1月1日,日,依規定放假1日，適逢星期日不補假。
國曆新年開始交易日,1月2日,一,國曆新年開始交易。
農曆春節前最後交易日,1月18日,三,1月19日及1月20日市場無交易，僅辦理結算交割作業。
農曆除夕,1月22日,日,依規定放假1日，1月26日（星期四）補假一日。
農曆春節,1月23日1月24日1月25日1月26日1月27日,一二三四五,依規定於1月23日至1月25日放假3日。1月27日調整放假，於2月4日（星期六）補行上班。
農曆春節後開始交易日,1月30日,一,農曆春節後開始交易。
和平紀念日,2月27日2月28日,一二,依規定放假1日。2月27日調整放假，於3月3日（星期六）補行上班。
兒童節民族掃墓節,4月4日,三,依規定放假1日。
勞動節,5月1日,二,依規定放假1日。
端午節,6月23日,六,依規定放假1日，適逢星期六不補假。
中秋節,9月30日,日,依規定放假1日，適逢星期日不補假。
國慶日,10月10日,三,依規定放假1日。
中華民國開國紀念日,12月31日1月1日(102年),一二,12月31日調整放假，於12月22日（星期六）補行上班。
